id, lat, long
1, 41.3152975, -105.58152500000001
2, 41.313289850098016, -105.58458895073731
3, 41.315211999999995, -105.578926
4, 41.314710165692624, -105.58097283264756
5, 41.312856, -105.5846985
6, 41.31263934779172, -105.5847802607207
7, 41.313251705720965, -105.58278955632146
8, 41.31544537887324, -105.58496121830989
9, 41.31525970850574, -105.58081190714407
10, 41.31292052915499, -105.58363317559386
11, 41.31232777105478, -105.58218491375585
12, 41.313948700457, -105.58449199618786
13, 41.314750508955136, -105.58475351844623
14, 41.31517940112208, -105.57941294134041
15, 41.31179027291196, -105.5811499779964
16, 41.31159391479168, -105.57908139019652
17, 41.31231829008862, -105.58289000747052
18, 41.31517917871205, -105.57912974571238
19, 41.31399591303624, -105.5785934121022
20, 41.315447257703084, -105.58290266386554
21, 41.315639499999996, -105.58196350000001
22, 41.31557250000001, -105.58287399999999
23, 41.31560781060354, -105.58488360837111
24, 41.31397449192338, -105.5776558322157
25, 41.31306092110991, -105.57899817597715
26, 41.314363320914964, -105.58139109285655
27, 41.3153025, -105.58237249999999
28, 41.31234146618153, -105.57938574695582
29, 41.3154765, -105.58238850000002
30, 41.31518875110652, -105.58026262103049
31, 41.315194190765745, -105.57777298986653
32, 41.315597499999996, -105.58151699999999
33, 41.31360412336498, -105.5835591658662
34, 41.315196862798345, -105.57975168133126
35, 41.31232874640523, -105.583926969887
36, 41.315122, -105.57895800000001
37, 41.31223061671568, -105.58105293026243
38, 41.31488093546553, -105.58413348935908